"BehaviorSpace results (NetLogo 6.0.4)"
"Summative-Networks.nlogo"
"normalD-normalR"
"03/12/2019 02:49:57:952 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9"
"mean-democrats","10",,"10",,"10",,"50",,"50",,"50",,"90",,"90",,"90",
"mean-republicans","10",,"50",,"90",,"10",,"50",,"90",,"10",,"50",,"90",
"[reporter]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
"[final]","36","4","43","1","47","11","23","2","37","20","46","2","41","11","55","8","41","7"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","36","4","43","1","47","11","23","2","37","20","46","2","41","11","55","8","41","7"
"[mean]","28.818181818181817","3.272727272727273","30.727272727272727","0.9090909090909091","29","7.818181818181818","17.545454545454547","1.8181818181818181","28.09090909090909","12.272727272727273","29.636363636363637","1.4545454545454546","22.09090909090909","6.7272727272727275","33.36363636363637","4.181818181818182","29.727272727272727","5.545454545454546"
"[steps]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"

"[all run data]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"15","2","18","1","13","1","14","2","13","1","14","1","6","2","13","1","18","2"
,"26","2","25","1","15","4","15","2","22","3","22","1","10","3","24","3","27","6"
,"29","4","29","1","20","7","18","2","27","6","27","1","16","5","31","4","29","6"
,"33","4","31","1","29","8","19","2","30","10","32","1","20","7","33","5","30","6"
,"35","4","35","1","33","11","19","2","34","15","32","2","24","9","39","5","33","6"
,"35","4","37","1","35","11","20","2","36","20","32","2","26","9","40","5","34","7"
,"36","4","37","1","39","11","21","2","36","20","37","2","31","9","41","5","38","7"
,"36","4","41","1","43","11","22","2","37","20","39","2","32","9","43","5","38","7"
,"36","4","42","1","45","11","22","2","37","20","45","2","37","10","48","5","39","7"
,"36","4","43","1","47","11","23","2","37","20","46","2","41","11","55","8","41","7"
