"BehaviorSpace results (NetLogo 6.0.4)"
"Summative-Networks.nlogo"
"normalD-other"
"03/12/2019 02:50:06:323 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6"
"mean-democrats","10",,"10",,"50",,"50",,"90",,"90",
"dist-type-republican","extremist",,"uniform",,"extremist",,"uniform",,"extremist",,"uniform",
"[reporter]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
"[final]","40","27","48","6","41","41","25","1","44","29","37","8"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","40","27","48","6","41","41","25","1","44","29","37","8"
"[mean]","27.90909090909091","22.363636363636363","39.72727272727273","4.2727272727272725","30.363636363636363","33.54545454545455","17.818181818181817","0.9090909090909091","34.36363636363637","24.272727272727273","26.818181818181817","6"
"[steps]","10","10","10","10","10","10","10","10","10","10","10","10"

"[all run data]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"12","7","23","2","12","17","11","1","22","12","11","1"
,"22","23","38","2","26","29","16","1","31","23","21","2"
,"28","27","45","2","32","36","17","1","35","29","23","7"
,"29","27","46","5","35","41","18","1","38","29","26","8"
,"32","27","47","6","35","41","19","1","39","29","32","8"
,"33","27","47","6","35","41","20","1","42","29","35","8"
,"36","27","47","6","37","41","22","1","42","29","36","8"
,"37","27","48","6","40","41","24","1","42","29","37","8"
,"38","27","48","6","41","41","24","1","43","29","37","8"
,"40","27","48","6","41","41","25","1","44","29","37","8"
