"BehaviorSpace results (NetLogo 6.0.4)"
"Summative-Networks.nlogo"
"normalR-other"
"03/12/2019 02:50:48:964 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6"
"mean-republicans","10",,"10",,"50",,"50",,"90",,"90",
"dist-type-democrat","extremist",,"uniform",,"extremist",,"uniform",,"extremist",,"uniform",
"[reporter]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
"[final]","29","27","31","17","45","40","27","36","36","34","23","28"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","29","27","31","17","45","40","27","36","36","34","23","28"
"[mean]","18.545454545454547","22.454545454545453","20.181818181818183","14.454545454545455","30.545454545454547","33.45454545454545","17","26.90909090909091","27.636363636363637","28.636363636363637","12.636363636363637","22.636363636363637"
"[steps]","10","10","10","10","10","10","10","10","10","10","10","10"

"[all run data]","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"6","12","4","8","9","18","4","15","19","14","3","11"
,"12","20","10","15","24","30","9","27","30","29","7","23"
,"18","26","18","17","30","40","12","29","31","34","9","26"
,"20","27","22","17","32","40","17","30","31","34","12","26"
,"22","27","26","17","37","40","19","30","31","34","12","26"
,"23","27","27","17","37","40","22","30","31","34","17","26"
,"23","27","27","17","39","40","23","30","31","34","18","27"
,"24","27","28","17","41","40","27","33","31","34","19","28"
,"27","27","29","17","42","40","27","36","33","34","19","28"
,"29","27","31","17","45","40","27","36","36","34","23","28"
