"BehaviorSpace results (NetLogo 6.0.4)"
"Summative-Networks.nlogo"
"other-other"
"03/12/2019 02:50:14:875 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","2","2","3","3","4","4"
"dist-type-democrat","extremist",,"extremist",,"uniform",,"uniform",
"dist-type-republican","extremist",,"uniform",,"extremist",,"uniform",
"[reporter]","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats"
"[final]","34","46","7","36","26","33","5","24"
"[min]","0","0","0","0","0","0","0","0"
"[max]","34","46","7","36","26","33","5","24"
"[mean]","27.363636363636363","30.545454545454547","5.090909090909091","27.363636363636363","22.818181818181817","19.363636363636363","3.3636363636363638","15.090909090909092"
"[steps]","10","10","10","10","10","10","10","10"

"[all run data]","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats","shared-count-republicans","shared-count-democrats"
,"0","0","0","0","0","0","0","0"
,"17","11","1","9","18","8","1","7"
,"26","24","2","20","25","14","3","12"
,"29","29","4","27","26","18","4","13"
,"31","33","7","32","26","19","4","15"
,"32","36","7","35","26","20","4","16"
,"33","36","7","35","26","21","4","17"
,"33","37","7","35","26","26","4","20"
,"33","39","7","36","26","26","4","21"
,"33","45","7","36","26","28","4","21"
,"34","46","7","36","26","33","5","24"
